Food Name,Food Category,TDF(g),IDF(g),SDF(g)
BAJRA,cereal_grains_and_products,11.30,9.10,2.20
JOWAR,cereal_grains_and_products,9.70,8.00,1.70
MAIZE (dry),cereal_grains_and_products,11.90,11.00,0.90
RAGI,cereal_grains_and_products,11.50,9.90,1.60
RICE ( raw â€“ milled),cereal_grains_and_products,4.10,3.20,0.90
WHEAT ( whole,cereal_grains_and_products,12.50,9.60,2.90
BENGAL GRAM (whole),pulses_and_legumes,28.30,25.20,3.10
BENGAL GRAM (dhal),pulses_and_legumes,15.30,12.70,2.60
BLACK GRAM (dhal),pulses_and_legumes,11.70,7.60,4.10
GREEN GRAM (whole),pulses_and_legumes,16.70,14.70,2.00
GREEN GRAM (dhal),pulses_and_legumes,8.20,6.50,1.70
LENTIL (whole),pulses_and_legumes,15.80,13.50,2.30
PEAS green,pulses_and_legumes,8.60,7.20,1.40
RED GRAM (dhal),pulses_and_legumes,9.10,6.80,2.30
RED GRAM (tender),pulses_and_legumes,22.60,19.80,2.80
SOYABEAN,pulses_and_legumes,23.00,17.90,5.10
AGATHI,leafy_vegetables,8.40,6.30,2.10
AMARANTH (tender gangeticus),leafy_vegetables,4.00,3.10,0.90
AMBAT CHUKA,leafy_vegetables,3.20,2.40,0.80
CABBAGE,leafy_vegetables,2.80,2.00,0.80
COLOCASIA LEAVES (green variety),leafy_vegetables,6.60,5.10,1.50
CORIANDER LEAVES,leafy_vegetables,4.30,3.00,1.30
CURRY LEAVES,leafy_vegetables,16.30,13.40,2.90
DRUMSTICK LEAVES,leafy_vegetables,9.00,6.80,2.20
FENUGREEK LEAVES,leafy_vegetables,4.70,3.20,1.50
GOGU,leafy_vegetables,3.80,2.60,1.20
MAYALU,leafy_vegetables,2.50,1.60,0.90
MINT,leafy_vegetables,6.30,5.00,1.30
PARUPPU KEERAI,leafy_vegetables,3.90,2.90,1.00
PONNANGANNI,leafy_vegetables,7.90,6.90,1.00
SPINACH,leafy_vegetables,2.50,1.80,0.70
TAMARIND LEAVES (tender),leafy_vegetables,10.60,9.40,1.20
BEET ROOT,roots_and_tubers,3.50,2.60,0.90
CARROT,roots_and_tubers,4.40,3.00,1.40
ONION (big),roots_and_tubers,2.50,1.70,0.80
POTATO,roots_and_tubers,1.70,1.10,0.60
RADHISH (table),roots_and_tubers,2.30,1.80,0.50
SWEET POTATO,roots_and_tubers,3.90,2.60,1.30
YAM (ordinary),roots_and_tubers,4.20,3.20,1.00
BITTER GOURD,other_vegetables,4.30,3.20,1.10
BOTTLE GOURD,other_vegetables,2.00,1.70,0.30
BRINJAL,other_vegetables,6.30,4.60,1.70
BROAD BEANS,other_vegetables,8.90,6.70,2.10
CAULIFLOWER,other_vegetables,3.70,2.60,1.10
CHO-CHO-MARROW,other_vegetables,1.30,0.90,0.40
CLUSTER BEANS,other_vegetables,5.70,4.20,1.50
COLOCASIA STEM,other_vegetables,3.00,2.30,0.70
CUCUMBER,other_vegetables,2.60,2.00,0.60
DRUM STICK,other_vegetables,5.80,4.80,1.00
GIANT CHILLIES (capsicum),other_vegetables,2.20,2.00,0.20
KOVAI,other_vegetables,2.50,1.50,1.00
LADIES FINGERS,other_vegetables,3.60,2.60,1.00
MANGO GREEN,other_vegetables,3.00,1.40,1.60
ONION STALKS,other_vegetables,5.10,3.70,1.40
PLANTAIN (green),other_vegetables,3.50,2.60,0.90
RIDGE GOURD,other_vegetables,1.90,1.40,0.50
SNAKE GOURD,other_vegetables,2.10,1.60,0.50
COCONUT (fresh),nuts_and_oil_seeds,13.60,12.70,0.90
GINGELLY SEEDS,nuts_and_oil_seeds,16.80,13.60,3.20
GROUNDNUT,nuts_and_oil_seeds,11.00,8.50,2.50
MUSTARD SEEDS,nuts_and_oil_seeds,13.60,10.20,3.40
ARISITHIPPILI,condiments_and_spices,43.40,34.30,9.10
CARDAMOM,condiments_and_spices,23.00,20.40,2.60
CLOVES (dry),condiments_and_spices,35.10,28.90,6.20
CORIANDER,condiments_and_spices,47.40,42.50,4.90
CUMIN SEEDS,condiments_and_spices,30.00,25.20,4.80
FENUGREEK SEEDS,condiments_and_spices,48.60,28.60,20.00
GARLIC (dry),condiments_and_spices,5.10,2.60,2.50
GINGER ( fresh,condiments_and_spices,6.00,4.70,1.30
OMUM,condiments_and_spices,47.20,43.90,3.30
PEPPER (dry),condiments_and_spices,35.30,32.40,2.90
POPPY SEEDS,condiments_and_spices,33.60,22.40,11.20
TURMERIC,condiments_and_spices,20.00,17.60,2.40
AMLA,fruits,7.30,5.80,1.50
APPLE,fruits,3.20,2.30,0.90
BANANA RIPE,fruits,1.80,1.10,0.70
CHERRIES (red),fruits,1.50,0.90,0.60
DATES (dried),fruits,8.30,6.90,1.40
DATES fresh,fruits,7.70,6.90,0.80
FIGS (Ficus carcia),fruits,5.00,2.60,2.40
GRAPES (Pale green variety),fruits,1.20,0.80,0.40
GUAVA (country),fruits,8.50,7.10,1.40
JACK FRUIT,fruits,3.50,2.10,1.40
JAMBU FRUIT,fruits,3.50,2.60,0.90
LIME (sweet -malta),fruits,2.70,1.30,1.40
MANGO RIPE,fruits,2.00,1.00,1.00
MELON (musk),fruits,0.80,0.50,0.30
MELON (sweeter),fruits,0.60,0.30,0.30
ORANGE,fruits,1.10,0.60,0.50
PAPAYA (ripe),fruits,2.60,1.30,1.30
PEACHES,fruits,1.60,1.10,0.50
PEARS,fruits,4.30,4.00,0.30
PINE APPLE,fruits,2.80,2.30,0.50
PLUM,fruits,2.80,1.70,1.10
POMEGRANATE,fruits,2.80,2.30,0.50
SAPOTA,fruits,10.90,9.10,1.80
SEETHAPHAL,fruits,5.50,4.00,1.50
STRAWBERRY,fruits,2.30,1.60,0.70
TOMATO RIPE,fruits,1.70,1.20,0.50
ZIZYPHUS,fruits,3.80,2.80,1.00
BANANAPITH,other_vegetables,2.20,2.00,0.20
KEERA (green),other_vegetables,1.10,0.80,0.30
CARAWAY SEEDS,nuts_and_oil_seeds,38.80,33.10,5.70
CINNAMOM,nuts_and_oil_seeds,48.50,44.60,3.90
LENTIL (dhal),pulses_and_legumes,10.30,8.30,2.00
BLACK GRAM (whole),pulses_and_legumes,20.30,15.40,4.90
